ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb
1476693,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,4,0.0,207,82117384384143,9,35.7,-169.6091766357422,0.22760000824928284,16,0.0,0.0,1.60537498E9,,,,0,,3,2.6
1476693,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,3,0.0,15,244135380382138,8,36.8,293.06719970703125,0.02120000123977661,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.06
1476693,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,4,0.0,15,244135380471495,11,33.3,-108.79106903076172,0.02290000021457672,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.06
1476694,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,6,0.0,15,244135368487148,13,31.1,-24.939844131469727,0.03720000013709068,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.06
1476694,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,7,0.0,15,244135369325505,80,16.3,-519.2733764648438,1.2699999809265137,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.06
1476694,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,9,0.0,15,244135376323050,14,30.2,-401.3578796386719,0.049800001084804535,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.06
1476694,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,16,0.0,15,244135378081402,8,36.1,-182.39212036132812,0.04820000380277634,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.06
1476695,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,22,0.0,15,244135375767805,19,27.3,502.14739990234375,0.06379999965429306,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.06
1476695,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,23,0.0,15,244135379197224,10,34.5,-208.3095245361328,0.05060000345110893,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.06
1476695,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,26,0.0,15,244135375625076,11,33.1,235.2494354248047,0.04540000110864639,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.06
1476695,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,31,0.0,15,244135365800968,64,18.6,647.7596435546875,1.7540000677108765,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.06
1476695,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,7,0.0,7183,244135366841933,7,37.3,248.7315673828125,0.047600001096725464,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.1
1476695,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,19,0.0,7183,244135361295807,35,22.9,-424.8972473144531,0.6420000195503235,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.1
1476696,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,21,0.0,7183,244135361176665,368,8.5,-571.6422119140625,10.142000198364258,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.1
1476696,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,27,0.0,7183,244135370645393,12,32.4,-188.85597229003906,0.05090000107884407,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.1
1476696,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,30,0.0,7183,244135368820055,10,34.0,340.4886779785156,0.04610000178217888,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.1
1477697,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,14,0.0,207,82118385195117,17,28.2,66.98214721679688,0.24080000817775726,16,0.0,0.0,1.59806246E9,,,,0,,3,2.64
1477697,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,13,0.0,207,82118375983689,53,19.4,697.30126953125,1.2190001010894775,16,0.0,0.0,1.60087501E9,,,,0,,3,2.64
1477698,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,15,0.0,207,82118379338397,11,33.5,-634.5538330078125,0.25140002369880676,16,0.0,0.0,1.602E9,,,,0,,3,2.64
1477698,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,5,0.0,207,82118375595239,7,37.7,-651.7311401367188,0.24310000240802765,16,0.0,0.0,1.60256256E9,,,,0,,3,2.64
1477698,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,3,0.0,207,82118378885759,16,29.1,456.58349609375,0.25369998812675476,16,0.0,0.0,1.60481254E9,,,,0,,3,2.64
1477698,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,4,0.0,207,82118384384707,8,36.0,-167.7195587158203,0.22720001637935638,16,0.0,0.0,1.60537498E9,,,,0,,3,2.64
1477699,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,3,0.0,15,244136380381150,8,36.9,294.9453430175781,0.02120000123977661,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1477699,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,4,0.0,15,244136380471852,11,33.4,-107.035400390625,0.02290000021457672,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1477699,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,6,0.0,15,244136368487240,16,29.7,-23.03307342529297,0.038700003176927567,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1477699,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,7,0.0,15,244136369327099,53,19.8,-517.9508666992188,0.9300000071525574,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1477699,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,9,0.0,15,244136376324441,19,27.7,-399.5221252441406,0.06530000269412994,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1477700,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,16,0.0,15,244136378081997,7,37.1,-180.46212768554688,0.047600001096725464,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1477700,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,22,0.0,15,244136375766109,19,27.0,504.07598876953125,0.06379999965429306,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1477700,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,23,0.0,15,244136379197922,10,34.8,-206.5242919921875,0.05060000345110893,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1477700,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,26,0.0,15,244136375624300,11,33.6,237.1433868408203,0.04540000110864639,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
